Landing Page,Sessioni,Utenti,Engaged,Bounce rate,Durata media (s),Conversioni
/,98,83,47,52.04%,235,0
(not set),24,19,1,95.83%,7,0
/structures/1-2-4-all,11,11,7,36.36%,350,0
/complessita/iniziare-subito,6,5,4,33.33%,32,0
/structures/impromptu-networking,6,5,5,16.67%,330,0
/structures/troika-consulting,4,2,2,50.00%,537,0
/structures/discovery-action-dialogue-dad,3,2,1,66.67%,169,0
/structures/drawing-together,3,3,2,33.33%,37,0
/structures/triz,3,3,3,0.00%,234,0
/difficolta/facile,2,2,1,50.00%,1036,0
/structures/conversation-cafe,2,2,2,0.00%,1006,0
/structures/generative-relationship-star,2,1,0,100.00%,0,0
/structures/heard-seen-respected-hsr,2,2,1,50.00%,16,0
/structures/helping-heuristics,2,2,0,100.00%,0,0
/structures/open-space-technology-ost,2,2,2,0.00%,453,0
/structures/social-network-webbing,2,1,0,100.00%,3,0
/structures/what-i-need-from-you-winfy,2,2,1,50.00%,16,0
,1,1,0,100.00%,0,0
//checkout,1,1,0,100.00%,5,0
/difficolta/intermedia/page/2,1,1,0,100.00%,0,0
/durata/workshop,1,1,1,0.00%,82,0
/structures/appreciative-interviews-ai,1,1,1,0.00%,184,0
/structures/critical-uncertainties,1,1,0,100.00%,0,0
/structures/ecocycle-planning,1,1,1,0.00%,339,0
/structures/liquid-courage,1,1,1,0.00%,96,0
/structures/mad-tea,1,1,1,0.00%,244,0
/structures/purpose-to-practice-p2p,1,1,0,100.00%,0,0
/structures/user-experience-fishbowl,1,1,1,0.00%,57,0
/structures/wicked-questions,1,1,0,100.00%,0,0