Keyword,Lingua,Ext,Localcode,Pos,Var,Var. Traffico,Volume,Gen,Feb,Mar,Apr,Mag,Giu,Lug,Ago,Set,Ott,Nov,Dic,"Traffico
Stimato",Intent,Feature,CPC,URL,Keyword Difficulty,Keyword Opportunity
liberatingstructures,it,.it,,2,0,0,2900,2900,2400,2900,2400,2900,2900,2900,1900,2900,2900,2900,1900,456,Informational,"Foto Carousel,Box Domande frequenti,Mispell",0.5,https://liberating.it/,1,93
liberatingstructures,it,.it,,18,0,0,2900,2900,2400,2900,2400,2900,2900,2900,1900,2900,2900,2900,1900,0,Informational,"Foto Carousel,Box Domande frequenti,Mispell",0.5,https://liberating.it/difficolta/intermedia/,1,93
together drawings,it,.it,,3,3,54,880,720,880,1000,1000,720,880,720,720,880,720,720,720,89,Informational,"Foto Carousel,Video Carousels,Box Domande frequenti",0,https://liberating.it/structures/drawing-together/,42,72
1 2 4 all,it,.it,,1,0,0,320,320,390,390,320,390,390,320,210,320,320,390,260,146,Informational,"AI Overview,Primo risultato visibile dopo uno scroll,Foto Carousel,Video Carousels,Box Domande frequenti",0,https://liberating.it/structures/1-2-4-all/,28,84
open space technology,it,.it,,11,0,0,210,260,210,210,260,320,320,170,90,210,210,260,140,0,Informational,"AI Overview,Primo risultato visibile dopo uno scroll,Google Knowledge Panel,Box Domande frequenti",0,https://liberating.it/structures/open-space-technology-ost/,36,37
webbing,it,.it,,12,1,0,210,170,210,170,260,260,260,170,210,210,210,210,170,0,Informational,"AI Overview,Google Knowledge Panel",0.56,https://liberating.it/structures/social-network-webbing/,47,32
liberating structures,it,.it,,2,0,0,140,110,140,140,110,140,140,90,90,170,140,140,90,22,Informational,"Foto Carousel,Video Carousels,Box Domande frequenti",1.05,https://liberating.it/,21,43
liberating structures,it,.it,,20,0,0,140,110,140,140,110,140,140,90,90,170,140,140,90,0,Informational,"Foto Carousel,Video Carousels,Box Domande frequenti",1.05,https://liberating.it/difficolta/intermedia/,21,43
What So What Now What,it,.it,,30,8,0,140,140,140,140,170,210,140,140,110,140,140,170,110,0,Informational,"AI Overview,Primo risultato visibile dopo uno scroll,Foto Carousel,Video Carousels,Box Domande frequenti",0,https://liberating.it/structures/w3-what-so-what-now-what/,6,91
eco cycle planning,it,.it,,5,0,0,90,110,140,110,90,90,90,140,50,90,90,90,90,5,Informational,"Foto Carousel,Video Carousels",0,https://liberating.it/structures/ecocycle-planning/,30,80
25 10 crowdsourcing,it,.it,,2,0,0,50,50,40,40,40,40,70,40,40,50,50,90,30,8,Informational,"Foto Carousel,Video Carousels,Box Domande frequenti",0,https://liberating.it/structures/25-10-crowd-sourcing/,16,86
liberating structures triz,it,.it,,3,0,0,50,50,50,50,50,50,70,50,50,50,70,70,40,6,Informational,"Foto Carousel,Video Carousels,Box Domande frequenti",0,https://liberating.it/structures/triz/,21,82
triz liberating structures,it,.it,,4,0,0,50,50,50,50,50,50,70,50,50,50,70,70,40,3,"Navigational,Informational","Foto Carousel,Video Carousels,Box Domande frequenti",0,https://liberating.it/structures/triz/,20,87
liberating structures triz,it,.it,,26,0,0,50,50,50,50,50,50,70,50,50,50,70,70,40,0,Informational,"Foto Carousel,Video Carousels,Box Domande frequenti",0,https://liberating.it/,21,82
2 4 1,it,.it,,24,27,0,40,50,30,50,50,40,30,30,30,50,40,30,30,0,Informational,Foto Carousel,0,https://liberating.it/structures/1-2-4-all/,50,69
shift and share,it,.it,,10,-1,0,30,30,20,20,10,50,20,20,20,30,30,30,20,1,Informational,"Google Knowledge Panel,Box Domande frequenti",0,https://liberating.it/structures/shift-share/,43,74
liberating,it,.it,,2,49,4,20,20,10,50,10,10,10,10,10,20,10,20,20,4,Informational,Box Domande frequenti,0,https://liberating.it/,64,25
wicked question,it,.it,,3,0,0,20,20,20,20,20,30,30,30,10,20,20,20,30,3,Informational,"Google Knowledge Panel,Video Carousels,Box Domande frequenti",0,https://liberating.it/structures/wicked-questions/,33,47
panarchy,it,.it,,9,42,1,20,30,20,20,20,20,20,30,30,20,30,30,40,1,Informational,Foto Carousel,0,https://liberating.it/structures/panarchy/,33,36
troika liberating structures,it,.it,,2,0,0,10,10,10,10,10,10,10,0,10,10,10,10,10,2,Informational,"Foto Carousel,Video Carousels,Box Domande frequenti",0,https://liberating.it/structures/troika-consulting/,21,86
one two four all,it,.it,,2,0,0,10,10,10,10,20,20,20,20,10,10,10,10,10,2,Informational,"AI Overview,Foto Carousel,Video Carousels,Box Domande frequenti",0,https://liberating.it/structures/1-2-4-all/,12,93
liberating structure triz,it,.it,,3,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,2,Informational,Video Carousels,0,https://liberating.it/structures/triz/,20,87
fishbowl liberating structures,it,.it,,3,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,2,Informational,"Foto Carousel,Video Carousels,Box Domande frequenti",0,https://liberating.it/structures/user-experience-fishbowl/,16,89
ecocycle liberating structures,it,.it,,3,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,2,Informational,"Foto Carousel,Video Carousels",0,https://liberating.it/structures/ecocycle-planning/,26,84
conversation cafe liberating structures,it,.it,,3,1,1,10,10,10,10,10,10,10,10,10,20,10,10,10,2,Informational,"Foto Carousel,Video Carousels",0,https://liberating.it/structures/conversation-cafe/,15,88
shift and share liberating structures,it,.it,,3,-1,0,10,10,0,10,10,10,0,10,10,10,10,10,0,2,"Navigational,Informational","Foto Carousel,Video Carousels,Box Domande frequenti",0,https://liberating.it/structures/shift-share/,17,85
discovery and action dialogue,it,.it,,3,0,0,10,10,0,10,10,10,10,10,10,10,10,10,10,2,Informational,"Video Carousels,Box Domande frequenti",0,https://liberating.it/structures/discovery-action-dialogue-dad/,22,64
1 2 4 method,it,.it,,4,-1,-1,10,10,10,10,10,10,10,10,10,10,10,10,10,1,Informational,"Foto Carousel,Video Carousels,Box Domande frequenti",0,https://liberating.it/structures/1-2-4-all/,15,91
liberating structures ecocycle,it,.it,,4,-2,-1,10,10,10,10,10,10,10,10,10,10,10,10,10,1,Informational,"Foto Carousel,Video Carousels",0,https://liberating.it/structures/ecocycle-planning/,27,79
liberating structures 9 whys,it,.it,,4,0,0,10,10,0,10,10,10,10,10,10,10,10,10,10,1,Informational,"Video Carousels,Box Domande frequenti",0,https://liberating.it/structures/9-whys/,14,90
troika consulting,it,.it,,4,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,1,Informational,"Primo risultato visibile dopo uno scroll,Foto Carousel,Video Carousels,Box Domande frequenti",0,https://liberating.it/structures/troika-consulting/,27,40
9 whys liberating structures,it,.it,,4,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,1,Informational,"Video Carousels,Box Domande frequenti",0,https://liberating.it/structures/9-whys/,14,88
liberating structures what so what now what,it,.it,,4,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,1,"Navigational,Informational","Foto Carousel,Video Carousels,Box Domande frequenti",0,https://liberating.it/structures/w3-what-so-what-now-what/,19,87
heard seen respected,it,.it,,5,1,0,10,10,20,20,10,10,20,10,10,10,20,10,10,1,Informational,Video Carousels,0,https://liberating.it/structures/heard-seen-respected-hsr/,23,74
min specs liberating structures,it,.it,,5,-2,-1,10,10,10,10,10,10,10,10,10,10,10,20,10,1,Informational,"Foto Carousel,Video Carousels",0,https://liberating.it/structures/min-specs/,15,89
wicked questions liberating structures,it,.it,,5,-1,0,10,0,10,0,10,10,10,10,10,10,0,10,10,1,"Navigational,Informational","Foto Carousel,Video Carousels,Box Domande frequenti",0,https://liberating.it/structures/wicked-questions/,16,87
liberating structures wicked questions,it,.it,,5,0,0,10,10,10,10,0,10,10,10,10,10,10,10,10,1,"Navigational,Informational","Foto Carousel,Video Carousels",0,https://liberating.it/structures/wicked-questions/,16,88
troika consulting liberating structures,it,.it,,6,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,1,Informational,"Foto Carousel,Video Carousels,Box Domande frequenti",0,https://liberating.it/structures/troika-consulting/,27,83
share shift,it,.it,,7,7,1,10,10,0,0,10,10,10,10,0,10,0,0,0,1,Informational,Box Domande frequenti,0,https://liberating.it/structures/shift-share/,62,67
w³,it,.it,,7,-1,0,10,10,10,10,10,10,10,10,10,20,20,10,10,1,Informational,Foto Carousel,0,https://liberating.it/structures/w3-what-so-what-now-what/,33,63
structure 15,it,.it,,9,7,1,10,0,10,0,0,0,0,0,0,10,0,10,0,1,Transactional,Foto Carousel,0,https://liberating.it/structures/15-solutions/,36,77
conversation cafe liberating structures,it,.it,,9,0,0,10,10,10,10,10,10,10,10,10,20,10,10,10,1,Informational,"Foto Carousel,Video Carousels",0,https://liberating.it/difficolta/intermedia/page/2/,15,88
discovery dialogue,it,.it,,10,-1,0,10,10,10,10,10,10,10,10,10,10,10,10,10,1,Informational,Box Domande frequenti,0,https://liberating.it/structures/discovery-action-dialogue-dad/,61,60
metodologia open space,it,.it,,11,-1,-1,10,10,10,10,0,10,10,10,10,10,10,10,10,0,Informational,"Risultato Zero,Box Domande frequenti",0,https://liberating.it/structures/open-space-technology-ost/,29,85
fishbowl liberating structures,it,.it,,15,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,0,Informational,"Foto Carousel,Video Carousels,Box Domande frequenti",0,https://liberating.it/difficolta/intermedia/page/2/,16,89
aperture space,it,.it,,16,10,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,Informational,,0,https://liberating.it/structures/open-space-technology-ost/,49,38
9 windows triz,it,.it,,19,32,0,10,0,10,0,0,0,0,0,0,0,10,0,0,0,Informational,Google Knowledge Panel,0,https://liberating.it/structures/triz/,30,85
creative crowdsourcing,it,.it,,20,31,0,10,10,0,0,10,10,10,0,0,0,10,0,0,0,Informational,Box Domande frequenti,0,https://liberating.it/structures/25-10-crowd-sourcing/,35,62
troika consulting method,it,.it,,23,-11,0,10,10,10,10,0,0,0,10,0,10,0,10,0,0,Informational,"Foto Carousel,Video Carousels,Box Domande frequenti",0,https://liberating.it/structures/troika-consulting/,16,87
cooperative drawing,it,.it,,24,27,0,10,0,10,0,10,0,0,0,10,0,0,10,0,0,Informational,"Foto Carousel,Video Carousels,Box Domande frequenti",0,https://liberating.it/structures/drawing-together/,22,87
ecocycle liberating structures,it,.it,,25,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,0,Informational,"Foto Carousel,Video Carousels",0,https://liberating.it/difficolta/intermedia/,26,84
nbf social network,it,.it,,28,23,0,10,10,0,10,0,0,0,0,0,0,0,0,0,0,Informational,"Video Carousels,Box Domande frequenti",0,https://liberating.it/structures/social-network-webbing/,32,80
liberating structures ecocycle,it,.it,,28,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,0,Informational,"Foto Carousel,Video Carousels",0,https://liberating.it/difficolta/intermedia/,27,79
troika liberating structures,it,.it,,29,0,0,10,10,10,10,10,10,10,0,10,10,10,10,10,0,Informational,"Foto Carousel,Video Carousels,Box Domande frequenti",0,https://liberating.it/complessita/team-rodati/,21,86
liberating structure triz,it,.it,,34,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,0,Informational,Video Carousels,0,https://liberating.it/difficolta/intermedia/,20,87
min specs liberating structures,it,.it,,37,0,0,10,10,10,10,10,10,10,10,10,10,10,20,10,0,Informational,"Foto Carousel,Video Carousels",0,https://liberating.it/10-principi-fondamentali-liberating-structures/,15,89
liberating structures what so what now what,it,.it,,38,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,0,"Navigational,Informational","Foto Carousel,Video Carousels,Box Domande frequenti",0,https://liberating.it/10-principi-fondamentali-liberating-structures/,19,87
liberating structures ecocycle,it,.it,,44,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,0,Informational,"Foto Carousel,Video Carousels",0,https://liberating.it/,27,79
conversation cafe liberating structures,it,.it,,47,0,0,10,10,10,10,10,10,10,10,10,20,10,10,10,0,Informational,"Foto Carousel,Video Carousels",0,https://liberating.it/complessita/team-rodati/,15,88
tecnica 1 2 4,it,.it,,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Informational,"Risultato Zero,Foto Carousel,Video Carousels,Box Domande frequenti",0,https://liberating.it/structures/1-2-4-all/,17,91
1-2-4-all,it,.it,,1,0,0,,,,,,,,,,,,,,0,Informational,"Video Carousels,Box Domande frequenti",,https://liberating.it/structures/1-2-4-all/,31,40
come iniziare con le liberating structures,it,.it,,1,0,0,,,,,,,,,,,,,,0,Informational,,,https://liberating.it/,13,88
materiali formativi discovery action dialogue,it,.it,,1,0,0,,,,,,,,,,,,,,0,Informational,,,https://liberating.it/structures/discovery-action-dialogue-dad/,26,85
Talking with Pixies,it,.it,,1,0,0,,,,,,,,,,,,,,0,Informational,"Video Carousels,Box Domande frequenti",,https://liberating.it/structures/talking-with-pixies/,34,66
1-2-4 all,it,.it,,1,0,0,,,,,,,,,,,,,,0,Informational,"Video Carousels,Box Domande frequenti",,https://liberating.it/structures/1-2-4-all/,31,80
Impromptu Networking,it,.it,,1,0,0,,,,,,,,,,,,,,0,Informational,"Video Carousels,Box Domande frequenti",,https://liberating.it/structures/impromptu-networking/,31,38
come usare wicked questions per strategic planning,it,.it,,1,0,0,,,,,,,,,,,,,,0,Informational,,,https://liberating.it/structures/wicked-questions/,21,87
tecniche impromptu networking team numerosi,it,.it,,1,0,0,,,,,,,,,,,,,,0,Informational,,,https://liberating.it/structures/impromptu-networking/,21,87
template ecocycle planning italiano,it,.it,,1,0,0,,,,,,,,,,,,,,0,Informational,,,https://liberating.it/structures/ecocycle-planning/,29,84
come facilitare 1-2-4-all in team remoti,it,.it,,2,-1,0,,,,,,,,,,,,,,0,Informational,Box Domande frequenti,,https://liberating.it/structures/1-2-4-all/,18,89
appreciative interviews cambio organizzativo,it,.it,,2,0,0,,,,,,,,,,,,,,0,Informational,Box Domande frequenti,,https://liberating.it/structures/appreciative-interviews-ai/,23,84
Conversation Café,it,.it,,2,0,0,,,,,,,,,,,,,,0,Informational,"Foto Carousel,Video Carousels",,https://liberating.it/structures/conversation-cafe/,26,52
25/10 liberating structures,it,.it,,2,0,0,,,,,,,,,,,,,,0,"Navigational,Informational","Video Carousels,Box Domande frequenti",,https://liberating.it/structures/25-10-crowd-sourcing/,14,89
liberating structures per startup tecnologiche,it,.it,,2,-1,0,,,,,,,,,,,,,,0,Informational,,,https://liberating.it/,14,89
Improv Prototyping,it,.it,,2,0,0,,,,,,,,,,,,,,0,Informational,"Foto Carousel,Video Carousels",,https://liberating.it/structures/improv-prototyping/,24,56
Integrated Autonomy,it,.it,,2,1,0,,,,,,,,,,,,,,0,Informational,"Foto Carousel,Box Domande frequenti",,https://liberating.it/structures/integrated-autonomy/,17,72
liberating structures per sviluppo leadership partecipativa,it,.it,,2,0,0,,,,,,,,,,,,,,0,Informational,Box Domande frequenti,,https://liberating.it/,17,90
15% Solutions,it,.it,,2,0,0,,,,,,,,,,,,,,0,Informational,,,https://liberating.it/structures/15-solutions/,33,48
facilitare ecocycle planning prima volta,it,.it,,2,0,0,,,,,,,,,,,,,,0,Informational,,,https://liberating.it/structures/ecocycle-planning/,16,89
ecocycle template,it,.it,,2,0,0,,,,,,,,,,,,,,0,Informational,Foto Carousel,,https://liberating.it/structures/ecocycle-planning/,21,81
liberating structures 1-2-4-all,it,.it,,2,0,0,,,,,,,,,,,,,,0,"Navigational,Informational","Video Carousels,Box Domande frequenti",,https://liberating.it/structures/1-2-4-all/,15,89
Social Network Webbing,it,.it,,2,0,0,,,,,,,,,,,,,,0,Informational,"Foto Carousel,Video Carousels",,https://liberating.it/structures/social-network-webbing/,32,38
liberating structure,it,.it,,2,0,0,,,,,,,,,,,,,,0,"Transactional,Informational","Foto Carousel,Video Carousels,Box Domande frequenti",,https://liberating.it/,27,40
25/10 Crowd Sourcing,it,.it,,2,0,0,,,,,,,,,,,,,,0,Informational,"Video Carousels,Box Domande frequenti",,https://liberating.it/structures/25-10-crowd-sourcing/,25,56
25/10 crowdsourcing,it,.it,,2,0,0,,,,,,,,,,,,,,0,Informational,"Video Carousels,Box Domande frequenti",,https://liberating.it/structures/25-10-crowd-sourcing/,29,68
liberating structures per riunioni online efficaci,it,.it,,2,0,0,,,,,,,,,,,,,,0,Informational,,,https://liberating.it/complessita/iniziare-subito/,18,88
liberating structures.com,it,.it,,2,0,0,,,,,,,,,,,,,,0,Informational,Mispell,,https://liberating.it/,15,87
Critical Uncertainties,it,.it,,3,0,0,,,,,,,,,,,,,,0,Informational,"Primo risultato visibile dopo uno scroll,Foto Carousel,Box Domande frequenti",,https://liberating.it/structures/critical-uncertainties/,31,37
Wise Crowds,it,.it,,3,0,0,,,,,,,,,,,,,,0,Informational,Foto Carousel,,https://liberating.it/structures/wise-crowds/,34,42
guida completa liberating structures,it,.it,,3,2,0,,,,,,,,,,,,,,0,"Navigational,Informational",,,https://liberating.it/,13,89
Ecocycle Planning,it,.it,,3,0,0,,,,,,,,,,,,,,0,Informational,"Foto Carousel,Video Carousels",,https://liberating.it/structures/ecocycle-planning/,32,48
Simple Ethnography,it,.it,,3,1,0,,,,,,,,,,,,,,0,Informational,"Primo risultato visibile dopo uno scroll,Video Carousels,Box Domande frequenti",,https://liberating.it/structures/simple-ethnography/,18,83
1+2+4+,it,.it,,4,0,0,,,,,,,,,,,,,,0,Informational,"Primo risultato visibile dopo uno scroll,Risposta diretta di Google",,https://liberating.it/structures/1-2-4-all/,50,78
9 Whys,it,.it,,4,0,0,,,,,,,,,,,,,,0,Informational,"Foto Carousel,Video Carousels",,https://liberating.it/structures/9-whys/,14,71
Discovery &amp; Action Dialogue,it,.it,,4,0,0,,,,,,,,,,,,,,0,Informational,Video Carousels,,https://liberating.it/structures/discovery-action-dialogue-dad/,6,89
Purpose to Practice,it,.it,,4,0,0,,,,,,,,,,,,,,0,Informational,"Foto Carousel,Box Domande frequenti",,https://liberating.it/structures/purpose-to-practice-p2p/,20,76
1 + 2 + 4,it,.it,,4,0,0,,,,,,,,,,,,,,0,Informational,"Primo risultato visibile dopo uno scroll,Risposta diretta di Google,Box Domande frequenti",,https://liberating.it/structures/1-2-4-all/,50,78
checklist facilitatore liberating structures,it,.it,,4,0,0,,,,,,,,,,,,,,0,Informational,,,https://liberating.it/difficolta/intermedia/page/2/,23,86
ecocycle planning template,it,.it,,4,0,0,,,,,,,,,,,,,,0,Informational,Foto Carousel,,https://liberating.it/structures/ecocycle-planning/,27,82
Shift &amp; Share,it,.it,,4,0,0,,,,,,,,,,,,,,0,Informational,Box Domande frequenti,,https://liberating.it/structures/shift-share/,21,86
"1,2 / 4",it,.it,,4,0,0,,,,,,,,,,,,,,0,Informational,"Primo risultato visibile dopo uno scroll,Risposta diretta di Google,Box Domande frequenti,Altro Google Box",,https://liberating.it/structures/1-2-4-all/,50,77
Appreciative Interviews,it,.it,,5,0,0,,,,,,,,,,,,,,0,Informational,"Video Carousels,Box Domande frequenti",,https://liberating.it/structures/appreciative-interviews-ai/,25,55
matrice accordo-certezza,it,.it,,5,46,0,,,,,,,,,,,,,,0,Informational,,,https://liberating.it/structures/agreement-certainty-matrix/,26,86
Helping Heuristics,it,.it,,5,-1,0,,,,,,,,,,,,,,0,Informational,"Foto Carousel,Box Domande frequenti",,https://liberating.it/structures/helping-heuristics/,34,42
"Heard, Seen, Respected",it,.it,,6,0,0,,,,,,,,,,,,,,0,Informational,Video Carousels,,https://liberating.it/structures/heard-seen-respected-hsr/,17,63
come iniziare con le liberating structures,it,.it,,6,0,0,,,,,,,,,,,,,,0,Informational,,,https://liberating.it/complessita/iniziare-subito/,13,88
User Experience Fishbowl,it,.it,,6,0,0,,,,,,,,,,,,,,0,Informational,"Foto Carousel,Video Carousels,Box Domande frequenti",,https://liberating.it/structures/user-experience-fishbowl/,21,52
Drawing Together,it,.it,,6,45,0,,,,,,,,,,,,,,0,Informational,"Foto Carousel,Video Carousels",,https://liberating.it/structures/drawing-together/,20,79
libersting,it,.it,,8,0,0,,,,,,,,,,,,,,0,Informational,"Altro Google Box,Mispell",,https://liberating.it/,52,76
1-2-4-all per workshop aziendali,it,.it,,12,39,0,,,,,,,,,,,,,,0,Informational,Box Domande frequenti,,https://liberating.it/structures/purpose-to-practice-p2p/,26,85
tecniche impromptu networking team numerosi,it,.it,,12,0,0,,,,,,,,,,,,,,0,Informational,,,https://liberating.it/complessita/iniziare-subito/,21,87
social zambing,it,.it,,13,38,0,,,,,,,,,,,,,,0,Informational,"Box Domande frequenti,Mispell",,https://liberating.it/structures/social-network-webbing/,45,77
liberating structure,it,.it,,16,0,0,,,,,,,,,,,,,,0,"Transactional,Informational","Foto Carousel,Video Carousels,Box Domande frequenti",,https://liberating.it/difficolta/intermedia/,27,40
liberating structures per riunioni online efficaci,it,.it,,18,0,0,,,,,,,,,,,,,,0,Informational,,,https://liberating.it/,18,88
come iniziare con le liberating structures,it,.it,,20,0,0,,,,,,,,,,,,,,0,Informational,,,https://liberating.it/complessita/facilitazioni-complesse/,13,88
TRIZ per innovazione,it,.it,,20,2,0,,,,,,,,,,,,,,0,Informational,Box Domande frequenti,,https://liberating.it/structures/triz/,10,91
liberating structures.com,it,.it,,23,0,0,,,,,,,,,,,,,,0,Informational,Mispell,,https://liberating.it/difficolta/intermedia/,15,87
facilitare shift and share team multiculturali,it,.it,,24,27,0,,,,,,,,,,,,,,0,Informational,Box Domande frequenti,,https://liberating.it/structures/shift-share/,24,86
25/10 Crowd Sourcing,it,.it,,24,0,0,,,,,,,,,,,,,,0,Informational,"Video Carousels,Box Domande frequenti",,https://liberating.it/complessita/team-rodati/,25,56
guida completa liberating structures,it,.it,,25,0,0,,,,,,,,,,,,,,0,"Navigational,Informational",,,https://liberating.it/difficolta/intermedia/page/2/,13,89
25/10 liberating structures,it,.it,,27,0,0,,,,,,,,,,,,,,0,"Navigational,Informational","Video Carousels,Box Domande frequenti",,https://liberating.it/complessita/team-rodati/,14,89
come gestire resistenza al cambiamento con liberating structures,it,.it,,29,-3,0,,,,,,,,,,,,,,0,Informational,Box Domande frequenti,,https://liberating.it/,22,84
improvvisazione costruttiva,it,.it,,29,5,0,,,,,,,,,,,,,,0,Informational,"Primo risultato visibile dopo uno scroll,Video Carousels,Box Domande frequenti",,https://liberating.it/structures/improv-prototyping/,19,87
checklist facilitatore liberating structures,it,.it,,31,0,0,,,,,,,,,,,,,,0,Informational,,,https://liberating.it/difficolta/facile/,23,86
come iniziare con le liberating structures,it,.it,,32,0,0,,,,,,,,,,,,,,0,Informational,,,https://liberating.it/10-principi-fondamentali-liberating-structures/,13,88
"What, So What, Now What?",it,.it,,33,-3,0,,,,,,,,,,,,,,0,Informational,"AI Overview,Primo risultato visibile dopo uno scroll,Video Carousels,Box Domande frequenti",,https://liberating.it/structures/w3-what-so-what-now-what/,8,85
liberating structures 1-2-4-all,it,.it,,36,0,0,,,,,,,,,,,,,,0,"Navigational,Informational","Video Carousels,Box Domande frequenti",,https://liberating.it/,15,89
template ecocycle planning italiano,it,.it,,37,0,0,,,,,,,,,,,,,,0,Informational,,,https://liberating.it/structures/design-storyboards/,29,84
certificazione facilitatore liberating structures,it,.it,,39,-36,0,,,,,,,,,,,,,,0,Informational,"AI Overview,Primo risultato visibile dopo uno scroll,Video Carousels,Box Domande frequenti",,https://liberating.it/,28,84
"1:2,4",it,.it,,40,0,0,,,,,,,,,,,,,,0,Informational,"Primo risultato visibile dopo uno scroll,Risposta diretta di Google,Altro Google Box",,https://liberating.it/structures/1-2-4-all/,50,78
liberating structures per startup tecnologiche,it,.it,,40,0,0,,,,,,,,,,,,,,0,Informational,,,https://liberating.it/10-principi-fondamentali-liberating-structures/,14,89
(1/2)^4,it,.it,,40,0,0,,,,,,,,,,,,,,0,Informational,"Primo risultato visibile dopo uno scroll,Risposta diretta di Google,Altro Google Box",,https://liberating.it/structures/1-2-4-all/,52,73
1/2^4,it,.it,,41,0,0,,,,,,,,,,,,,,0,Informational,"Primo risultato visibile dopo uno scroll,Risposta diretta di Google",,https://liberating.it/structures/1-2-4-all/,50,78
1/2 : 4,it,.it,,41,0,0,,,,,,,,,,,,,,0,Informational,"Primo risultato visibile dopo uno scroll,Risposta diretta di Google,Box Domande frequenti,Altro Google Box",,https://liberating.it/structures/1-2-4-all/,44,80
"1/2,4",it,.it,,41,0,0,,,,,,,,,,,,,,0,Informational,"Primo risultato visibile dopo uno scroll,Risposta diretta di Google,Box Domande frequenti",,https://liberating.it/structures/1-2-4-all/,50,78
liberating structures per riunioni online efficaci,it,.it,,42,0,0,,,,,,,,,,,,,,0,Informational,,,https://liberating.it/difficolta/intermedia/page/2/,18,88
25/10 liberating structures,it,.it,,43,0,0,,,,,,,,,,,,,,0,"Navigational,Informational","Video Carousels,Box Domande frequenti",,https://liberating.it/difficolta/intermedia/page/2/,14,89
corso base liberating structures online italiano,it,.it,,44,-40,0,,,,,,,,,,,,,,0,Informational,Box Domande frequenti,,https://liberating.it/structures/tiny-demons/,57,72
Social Network Webbing,it,.it,,45,0,0,,,,,,,,,,,,,,0,Informational,"Foto Carousel,Video Carousels",,https://liberating.it/structures/impromptu-networking/,32,38
libersting,it,.it,,47,0,0,,,,,,,,,,,,,,0,Informational,"Altro Google Box,Mispell",,https://liberating.it/structures/shift-share/,52,76