Keyword,Intent,Keyword Difficulty,Keyword Opportunity,CPC,Volume ricerca,Stagionalità
scrum management,Informational,42,80,1.26,70,
cercare se stessi,Informational,40,74,0.07,70,
corso sulla comunicazione efficace,Informational,23,83,1.01,70,
processo di sviluppo,Informational,52,61,0,70,
posizionamento di un prodotto,Informational,33,81,1.01,70,
obiettivo strategico,"Commercial,Informational",13,84,0,70,
pmi testing,Informational,20,89,1.11,70,
pmo manager,Informational,44,69,2.3,70,
service management itil,Informational,38,80,19.02,70,
metodo top-down,Informational,40,75,0,70,
master risorse umane on line,Informational,36,80,2.15,50,
obiettivi di un'azienda,Informational,40,79,0.47,50,
il project management,Informational,57,62,3.36,50,
struttura organizzativa definizione,Informational,34,79,0,50,
service desk manager,"Transactional,Informational",48,47,20.86,50,
dream jobs,Informational,48,54,0,50,
sigma lean,Informational,40,81,2.63,50,
ui ux design corso,"Transactional,Informational",34,82,2.67,50,
coaching definizione,Informational,27,85,0,50,
struttura organizzativa multidivisionale,Informational,39,74,0,50,
metodologia itil,Informational,35,83,6.78,50,
metodologia scrum agile,Informational,32,83,1.13,50,
tecnica brainstorming,Informational,36,80,0.25,50,
metodo lean toyota,Informational,26,86,0.51,50,
bisogno di sicurezza maslow,Informational,43,79,0,50,
project management certificazione,"Commercial,Informational",37,80,3.59,50,
come fare un analisi swot,Informational,42,80,0.33,50,
corso di formazione hr,Transactional,32,83,5.31,50,
equilibrio zen,Informational,54,47,0.39,50,
autorevoli,Informational,38,68,0,50,
giochi di lavoro,Informational,41,79,0.15,50,
metodologia brainstorming,Informational,36,81,0,50,
social media marketing master,Informational,35,80,6.91,50,
cambiamenti aziendali,Informational,17,89,0,50,
schumpeter teoria,"Transactional,Informational",42,79,0.17,50,
quanto guadagna un product manager,"Transactional,Informational",42,74,2.12,50,
product team,Informational,30,44,0,50,
stakeholder map,Informational,38,38,0,50,
il facilitatore,"Transactional,Informational",49,38,0.19,50,
procrastinatrice significato,Informational,41,78,0,50,
analisi scenario,Informational,30,82,0,50,
cross team,Informational,43,79,0,50,
digital product designer,Informational,38,59,1.64,50,
lungimiranti significato,Informational,35,80,0,50,
cosa fa un coach,Informational,45,64,0.4,50,
matrice porter,Informational,39,80,0,50,
comunicazione faccia a faccia,Informational,44,67,0,50,
scrum daily meeting,Informational,19,88,0.74,50,
cambiamento aziendale,Informational,29,79,0,50,
consigli zen,Informational,40,62,0.07,50,
data analyst hr,Informational,41,80,1.98,50,
leader team,Informational,33,79,0,50,
pace zen,"Transactional,Informational",45,71,0,50,
oratoria deliberativa,Informational,50,75,0,50,
caratteristiche di un gruppo di lavoro,Informational,42,78,0,50,
modello organizzativo funzionale,Informational,37,74,0,50,
gestire il cambiamento,Informational,31,77,0.2,50,
change manager,Informational,51,51,0,50,
obiettivo azienda,Commercial,48,57,0,50,
ascolto efficace,Informational,24,86,0,50,
il management,"Transactional,Informational",60,33,0,50,
pmp vs prince2,Commercial,35,68,2.25,50,
daily scrum meeting,Informational,20,69,0.74,50,
kaizen management,Informational,37,76,0.14,50,
apprendimento efficace,Informational,34,48,0.04,50,
service desk significato,Informational,49,77,4.44,50,
giochi di lavorare,Informational,33,78,0.15,50,
prince2 vs pmp,Commercial,34,78,2.25,50,
struttura organizzativa orizzontale,Informational,28,74,0,50,
economie di scala grafico,Informational,37,78,0,50,
attività di project management,Informational,45,78,2.49,50,
risk information management,Informational,32,81,1.52,50,
significato output,Informational,42,79,0,50,
obiettivi azienda,Informational,49,44,0,50,
agile project,Informational,43,57,3.55,50,
business intelligence master,Transactional,41,77,10.88,50,
cobit framework,Informational,39,80,0,50,
diventare data scientist,Informational,60,52,6.57,50,
prospettiva sistemica,Informational,48,57,0,50,
analisi sistemica,Informational,27,76,0,50,
posizionamento prodotto,Informational,39,78,0,50,
master in web marketing,Informational,32,82,4.88,50,
processi innovativi,Informational,26,61,0.52,50,
modello organizzativo divisionale,Informational,15,88,0,50,
il project manager,Informational,63,59,2.18,50,
lean manager stipendio,Transactional,44,78,0,50,
corso di web marketing e social media,"Transactional,Informational",48,75,7.92,50,
togaf 9,Informational,34,79,0,50,
strumenti di comunicazione interna,Informational,31,67,2.24,40,
certificazioni curriculum,Informational,50,74,0.68,40,
metodo brainstorming,Informational,46,77,0.13,40,
differenza tra scrum e kanban,"Commercial,Informational",42,79,0,40,
deputy project manager,Transactional,58,35,0,40,
business case modello,Informational,52,75,0,40,
storytelling turistico,Informational,46,72,0,40,
il mio lavoro mi fa schifo,Informational,55,68,0,40,
competenze problem solving,Informational,39,81,0,40,
service level management,Informational,41,54,2.84,40,
strategia aziendale esempio,"Commercial,Informational",25,83,5,40,
agile design,Informational,35,83,0,40,
auto consapevolezza,Informational,40,78,0.25,40,
far accadere le cose,"Transactional,Informational",43,55,0,40,
corso ethical hacking,"Transactional,Informational",33,80,3.04,40,
bisogno di stima,Informational,24,86,0,40,
business cases,Informational,49,76,0,40,
acronimo pmo,Informational,31,85,0,40,
come fare un'analisi swot,Informational,43,74,0.15,40,
corso comunicazione efficace milano,Transactional,29,76,2.5,40,
organigramma funzionale aziendale,Informational,33,76,0,40,
ansia da lavoro rimedi,Informational,44,78,0,40,
posizionamento siti roma,Commercial,20,85,0,40,
sviluppo software agile,Informational,47,77,0.78,40,
arte e marketing,Informational,33,79,0,40,
corso pmo,Transactional,34,79,4.07,40,
spirito zen,"Transactional,Informational",32,83,0,40,
pratica zen,Informational,32,79,1.14,40,
vita complicata,Informational,58,54,0,40,
devops ci cd,Informational,42,80,13.81,40,
comportamento professionale,Informational,29,83,0,40,
strategie business,Informational,27,85,0,40,
marketing product specialist,Informational,58,67,4.93,40,
le strategie aziendali,Informational,29,78,0.48,40,
safe agike,Informational,35,83,2.11,40,
progettazione top down,Informational,30,82,0,40,
master in digital marketing roma,Informational,29,81,5.34,40,
approccio sistematico,Informational,28,78,0,40,
corso agile scrum,Informational,28,83,2.44,40,
master marketing part time,Informational,44,75,17.86,40,
corso di personal branding,"Transactional,Informational",45,65,2.89,40,
terapia razionale emotiva esercizi,Informational,25,84,0.11,40,
scrum metodo,Informational,39,82,0.07,40,
arte dell'oratoria,Informational,38,75,0.15,40,
corso itil foundation,Transactional,23,80,2.98,40,
oceano blu marketing,Informational,43,79,0.72,40,
visione sistemica significato,Informational,25,85,0,40,
legge d'attrazione esperienze,Informational,56,72,2.57,40,
piani di successione aziendale,Informational,22,79,1.3,40,
progetti aziendali,Informational,39,71,7.1,40,
change leader,Informational,28,42,0.9,40,
passione e lavoro,Informational,41,79,0.9,40,
metriche di marketing,Informational,41,65,0,40,
analisi swot come si fa,Informational,56,72,0.22,40,
bcg marketing,"Navigational,Informational",27,87,0,40,
comunicazione efficace corso,"Transactional,Informational",32,74,1.66,40,
marketing bcg,"Navigational,Informational",33,84,0,40,
comportamenti organizzativi,Informational,37,55,0,40,
distruzione creatrice schumpeter,Informational,32,81,0,40,
mappatura del flusso di valore,Informational,36,46,0,30,
ruolo organizzativo,Informational,11,82,0,30,
outcome definizione,Informational,37,76,0,30,
il cambiamento organizzativo,Informational,40,63,0,30,
master visual design,Informational,46,75,6.85,30,
analisi pmi,Informational,20,85,0,30,
corso ui ux design,Transactional,38,79,1.473633059367,30,
struttura gerarchica aziendale,Informational,37,81,0,30,
come organizzare una riunione,Informational,45,66,1.75,30,
ciclo di vita progetto,Informational,48,74,0,30,
top leader,Informational,39,75,0,30,
leadership collaborativa,Informational,30,40,0,30,
la teoria dei bisogni di maslow,Informational,50,74,0,30,
giochi comunicazione non verbale,Informational,37,79,0,30,
certificazione devops,Transactional,38,76,2.76,30,
analisi bottom up,Informational,35,82,0,30,
filosofia giapponese kaizen,Informational,46,77,0.13,30,
programme management,Informational,43,67,0,30,
pmi pdu,Informational,12,92,1.55,30,
what is a pmp,Informational,29,81,0.99,30,
esame itil,Transactional,18,81,1.66,30,
gruppo di progetto,Informational,42,74,0,30,
tecnica zen,Informational,31,84,0,30,
esame scrum master,Informational,23,85,1.57,30,
lean operation,Informational,30,75,0,30,
metodologia just in time,Informational,23,87,0,30,
corso itil v4,Transactional,18,89,2.8,30,
pharmaceutical marketing,Informational,34,52,1.47,30,
mvp business,Informational,33,85,0.12,30,
giochi sulla comunicazione efficace,Informational,34,80,0.32,30,
organizzare un meeting,Informational,34,58,0,30,
cose feedback,Informational,42,80,0,30,
professional scrum master i,"Transactional,Informational",21,70,1.29,30,
safeagile,Informational,28,86,0,30,
comunicazione interna strumenti,Informational,31,81,0,30,
teoria di schumpeter,Informational,46,76,0,30,
tdd test,Informational,37,83,0,30,
come organizzare un meeting,Informational,41,64,0,30,
autoformazione significato,Informational,25,84,0,30,
design project manager,Informational,55,68,0.25,30,
corsi per hr,Transactional,32,84,5.14,30,
web design master,Informational,50,76,6.7,30,
come diventare autorevole,Informational,23,86,0,30,
manager project,Informational,67,70,1.13,30,
comunicazione proattiva,Informational,35,73,0,30,
gerarchia ruoli aziendali,Informational,19,87,0,30,
tecniche zen,Informational,32,79,0,30,
adopter,Informational,66,31,0,30,
lean management toyota,Informational,16,90,0,30,
agile stand up meeting,Informational,28,84,0,30,
itil service desk,"Commercial,Informational",26,75,23.56,30,
prince foundation,Informational,17,88,2.97,30,
prince project management,Informational,34,81,1.1,30,
strategie di prodotto,"Transactional,Informational",26,85,0,30,
organizzare un incontro,Informational,37,75,0,30,
scrum and agile,Informational,37,81,1.2,30,
strategie imprenditoriali,Informational,52,63,0.62,30,
test tdd,Informational,36,83,0,30,
asa economia aziendale,Informational,24,87,0,30,
motivazione aziendale,Informational,24,86,0,30,
paura di sbagliare sul lavoro,Informational,44,78,0,30,
modalità organizzative,Informational,44,55,0,30,
certificazione itil costo,Transactional,20,88,1.05,30,
come scegliere il lavoro,Informational,51,76,0.07,30,
corso di social media marketing online,Informational,53,71,5.57,30,
come fare un brainstorming,Informational,35,77,0.46,30,
piattaforme multi sided,Informational,26,86,0,30,
il knowledge management,Informational,47,51,0,30,
le strategie competitive,Informational,51,59,1.13,30,
social marketing corso,Informational,43,78,3.69,30,
strumenti della comunicazione interna,Informational,22,84,0.82,30,
innovazione schumpeter,Informational,44,72,0,30,
immagine personale,Informational,30,61,0,30,
brainstorming tecniche,Informational,45,76,0.4,30,
matrice di mckinsey,Informational,30,83,0,30,
marketing del prodotto,"Transactional,Informational",31,83,1.28,30,
attività pmo,Informational,35,84,0.41,30,
certificazione itil cos'è,Informational,33,82,0.393200998347,20,
voglio cambiare lavoro a 40 anni,Informational,46,76,0,20,
la qualità totale,Informational,43,55,0,20,
micro manager,"Navigational,Informational",37,79,0,20,
legge attrazione testimonianze,Informational,43,77,0,20,
negoziazione aziendale,Informational,30,78,0,20,
corso social media strategy,Informational,54,62,4.88,20,
online marketing master,Informational,38,81,0,20,
tecniche di creatività,Informational,29,69,0.21,20,
master marketing on line,Transactional,43,77,0,20,
definizione vantaggio competitivo,Informational,33,81,0,20,
che cos è la legge di attrazione,Informational,43,79,0,20,
user test,Informational,34,52,0,20,
lean management definizione,Informational,13,89,0,20,
esempio di strategia aziendale,Informational,24,85,0,20,
come acquisire autorevolezza,Informational,22,77,0,20,
formazione project manager,Informational,46,76,2.87,20,
metodologia design thinking,Informational,35,82,0.95,20,
pmi corso project manager,Informational,18,89,3.02,20,
ansia sul lavoro cosa fare,Informational,38,80,0.53,20,
corso social media strategist,"Transactional,Informational",54,70,4.88,20,
framework scrum significato,Informational,31,84,0,20,
agile uat,Informational,26,87,0,20,
cosa fare per cercare lavoro,Informational,50,74,0.17,20,
pmi exams,Informational,5,96,1.72,20,
extreme programming xp,Informational,44,70,0,20,
team composition,Informational,51,37,0,20,
coaching per imprenditori,Informational,23,75,1.07,20,
service desk it,Informational,54,65,10.12,20,
distruzione creatrice di schumpeter,Informational,32,80,0,20,
le strategie,"Transactional,Informational",41,58,0,20,
paradigma sistemico,Informational,36,76,0,20,
ui designer corso,Informational,22,87,1.13,20,
tecniche di comunicazione assertiva,Informational,28,79,0.47,20,
significato coaching,Informational,26,85,0.45,20,
come superare la paura del futuro,Informational,38,80,0,20,
mamma zen,"Transactional,Informational",53,58,0,20,
legge attrazione esercizi,"Transactional,Informational",42,76,0,20,
reskilling upskilling,Informational,46,71,0,20,
service manager significato,Informational,27,84,0,20,
strategia di corporate e di business,Informational,35,81,0,20,
pspo 1,Informational,25,84,1.13,20,
struttura a matrice organigramma,Informational,31,83,0,20,
giochi motivazionali,Informational,26,86,3.29,20,
general service manager,"Transactional,Informational",56,54,0,20,
logica sistemica,Informational,14,88,0,20,
l arte dell oratoria,Informational,41,79,0,20,
vantaggio competitivo significato,Informational,37,78,0,20,
team cross funzionale,Informational,32,73,0,20,
come si fa un brainstorming,Informational,44,78,0.22,20,
meditazione e legge di attrazione,Informational,50,73,0.19,20,
società project management,Informational,17,85,0,20,
definizione di vantaggio competitivo,Informational,38,74,0,20,
bisness model,Informational,59,73,0.2,20,
project management certification pmp,Informational,29,81,7.26,20,
responsabile prodotto,Informational,53,75,1.32,20,
consapevolezza aziendale,Informational,14,89,0,20,
project management pmp certification,Informational,24,85,7.26,20,
pmp project management certification,Informational,30,82,7.26,20,
manager project management,Informational,49,75,4.66,20,
standard itil,Informational,35,83,0,20,
corso social per aziende,"Transactional,Informational",36,80,0,20,
cosa si intende per vantaggio competitivo,Informational,34,81,0,20,
modello kaizen,Informational,31,84,0,20,
come organizzare una riunione di lavoro,Informational,31,70,1.71,20,
cambiamenti organizzativi,Informational,25,74,0,20,
product management definition,Informational,38,79,0,20,
wicked question,Informational,33,47,0,20,
hr agile,"Transactional,Informational",40,72,0.17,20,
tipologie di strutture organizzative,Informational,22,80,0,20,
quality management plan,Informational,25,50,0,20,
facilitatore della comunicazione,Informational,23,81,0,20,
tecnica kaizen,Informational,41,80,0,20,
service mgmt,Informational,14,89,0,20,
esercizi comunicazione efficace,Informational,45,76,0.1,20,
lungimiranza definizione,Informational,33,82,0,20,
master online in risorse umane,Transactional,42,77,5.21,20,
definizione coaching,Informational,31,83,0.45,20,
la teoria dell attrazione,Informational,41,79,0.1,20,
togaf foundation,Informational,23,81,1.24,20,
economia innovazione,Informational,52,72,0,20,
tqm total quality,Informational,35,81,0,20,
service account manager,Informational,75,51,0,20,
metodo kaiser,Informational,33,83,0,20,
dialogo tra generazioni,Informational,34,61,0.18,20,
filosofia lean thinking,Informational,13,91,0.9,20,
modelli di struttura organizzativa,Informational,30,78,0,20,
definizione di autorevolezza,Informational,35,82,0,20,
essere ispirati,Informational,28,86,0,20,
dirigenti aziendali,Informational,34,76,0,20,
itil vs cobit,Commercial,32,79,0,20,
progettazione top-down,Informational,28,68,0,20,
tecnica just in time,Informational,33,83,0,20,
micromanaging,Informational,32,69,0,20,
itil governance,Informational,30,70,0,10,
cobit foundation,Informational,22,75,0,10,
scrum tutorial,Informational,36,81,0.93,10,
portfolio managing,Informational,39,79,0,10,
cosa significa autorevolezza,Informational,43,79,0,10,
hr analytics corso,Informational,33,81,0,10,
attrazione positiva,Informational,44,79,0,10,
sistemico dizionario,Informational,55,72,0,10,
prince ii,Informational,39,80,1.4,10,
change manager cosa fa,Informational,27,85,0,10,
per diventare manager,Informational,58,56,0,10,
services blueprint,Informational,32,81,0,10,
consapevolezza zen,Informational,21,88,0,10,
coach cosa fa,Informational,44,78,0,10,
toyota management system,Informational,40,79,0,10,
come migliorare la leadership,Informational,31,77,0,10,
pmi certified project management professional,Informational,13,89,0,10,
s.c.a.r.f. model,Informational,14,92,0,10,
motivazione in azienda,Informational,35,76,0,10,
quali sono i passaggi fondamentali del change management,Informational,22,87,0,10,
project manager pmi,Informational,25,85,0,10,
cos'è il vantaggio competitivo,Informational,42,77,0,10,
green lean six sigma,Informational,23,85,0,10,
portfolio management definition,Informational,27,82,0,10,
itil based service desk solutions,Informational,16,89,0,10,
cos'è output,Informational,43,79,0,10,
knowledge and management,Informational,43,76,0,10,
corsi pmi milano,Informational,10,92,1.83,10,
business one software,Informational,29,83,0,10,
resistenze al cambiamento,Informational,34,80,0,10,
test pmp,"Transactional,Informational",22,89,5.8,10,
pensamento sistemico,Informational,13,87,0,10,
coaching agile,Informational,40,80,0,10,
diventa manager,Informational,59,66,0,10,
come impiegare il tempo,Informational,33,82,0,10,
come capire che lavoro fare test,Informational,31,83,0,10,
metodologia togaf,Informational,21,88,1.57,10,
coaching cosa significa,Informational,38,80,1.11,10,
corso tecniche di comunicazione efficace,"Transactional,Informational",28,82,0.76,10,
upskilling e reskilling significato,Informational,37,78,0,10,
la figura del project manager,Informational,56,73,2,10,
projects manager,Informational,59,71,0,10,
agile project development,Informational,37,79,0,10,
stakeholders mapping,Informational,27,82,0,10,
people and engagement,Informational,31,82,0,10,
backlog definizione,Informational,29,85,0,10,
matrice bcg exemple,Informational,42,79,0,10,
itil data management,Informational,29,85,0,10,
posizionamento del prodotto sul mercato,Informational,35,80,0,10,
modello itil,Informational,39,81,0,10,
ansia di sbagliare sul lavoro,Informational,42,78,0,10,
gestione cambiamento,Informational,44,76,0,10,
certificazione product manager,Informational,35,82,0,10,
praticare lo zen,Informational,17,78,0,10,
qualifica di project manager,Informational,43,77,3.09,10,
analisi swot personale esempio,Informational,31,83,0,10,
master product manager,"Commercial,Informational",52,73,7.77,10,
root cause analysis cosa è,"Transactional,Informational",37,79,0,10,
management del progetto,Informational,56,73,0,10,
eventi di team building,"Commercial,Informational",22,87,0,10,
filosofia toyota,Informational,36,82,0,10,
msp acronimo,Informational,20,89,0,10,
service management system,Informational,54,73,0,10,
service desk definizione,Informational,55,74,0,10,
master hr part time,Transactional,17,89,0,10,
scrum methods,Informational,30,84,0,10,
itil ticketing,Informational,13,86,0,10,
services management,Informational,32,81,0,10,
reskilling e upskilling significato,Informational,42,76,0,10,
problem solving strategie,Informational,42,77,0,10,
agile auditing,Informational,30,51,0,10,
significato di autorevolezza,Informational,35,82,0,10,
digital hr master,Informational,32,79,0,10,
devops formazione,"Transactional,Informational",32,83,0,10,
team building puglia,Informational,25,84,2.209507,10,
price 2,Informational,35,74,0,10,
corso in risorse umane,Transactional,36,79,0,10,
itil standard,Informational,44,80,0,10,
agile project manager,Informational,44,61,0,10,
legge di attrazione come farla funzionare,Informational,24,83,0,10,
agile coach cosa fa,Informational,34,81,0,10,
delivery manager cosa fa,Informational,34,80,0,10,
appartenenza all'azienda,Informational,29,84,0,10,
scrum & agile,"Commercial,Informational",38,82,0,10,
agile with scrum,Informational,27,86,0,10,
metodologia prince2,Informational,33,83,1.25,10,
marketing gastronomico,Informational,47,66,0,10,
service desk traduzione,Informational,48,76,0,10,
come diventare product manager,Informational,44,72,0,10,
significato autorevolezza,Informational,30,84,0,10,
progetti csr,Informational,22,84,0,10,
management quality,Informational,37,80,0,10,
l'oratoria di cicerone,Informational,51,71,0.04,10,
agile kpis,Informational,31,85,10.18,10,
project management formazione,Informational,39,77,4.03,10,
management of knowledge,Informational,56,74,0,10,
stakeholder maps,Informational,38,80,0,10,
master in hrm,Informational,34,82,0,10,
pmi-rmp,Informational,16,73,0,10,
pensiero sistemico definizione,Informational,16,87,0,10,
oratoria cursos,Informational,29,85,0,10,
pmp management,Informational,26,86,0,10,
procedure itil,Informational,24,87,0,10,
manager change,Informational,42,79,0,10,
documentazione progetto,Informational,62,69,0,10,
il personal branding,Informational,52,64,0.44,10,
dei management,"Transactional,Informational",46,73,0,10,
oratoria arte,Informational,49,76,0,10,
eventi networking,Informational,38,79,0,10,
certificazioni agile scrum,Informational,19,87,0,10,
esempi di strategie aziendali,"Commercial,Informational",31,81,0.45,10,
analisi del personale,Informational,42,73,0,10,
certificazioni utili per curriculum,Informational,34,79,0,10,
metodologia pmbok,Informational,16,91,0,10,
lungimiranza dizionario,Informational,51,74,0,10,
upskill e reskill,Informational,37,80,0,10,
itil help desk software,Informational,25,85,0,10,
posizionamento seo pordenone,Informational,18,83,0,10,
case business,Informational,54,75,0,10,
agile journey,Informational,22,78,0,10,
scrum metodologia agile,Informational,44,78,0,10,
agile scrum metodologia,Informational,37,81,0,10,
agile software development method,Informational,46,74,0,10,
mapping stakeholders,Informational,32,82,0,10,
atteggiamento mentale vincente,"Transactional,Informational",37,66,0,10,
come crescere professionalmente,Informational,35,75,0,10,
appartenenza aziendale,Informational,29,70,0,10,
vuca e bani,Informational,33,75,0,10,
digital marketing masters,Informational,27,84,6.09,10,
strategia di corporate,Informational,42,67,0,10,
cosa fa il coach,Informational,44,78,0,10,
oratoria curso,Informational,45,78,0,10,
analisi dello scenario,Informational,31,62,0,10,
master part time marketing,Informational,38,78,0,10,
certificazione itil v3,Informational,23,86,2.55,10,
project management delle opere strutturali e infrastrutturali,Informational,39,57,1.78,10,
project managers,Informational,59,70,0,10,
giochi di team building per adulti,Informational,35,80,1.16,10,
a lesson learned,Informational,62,55,0,10,
tecniche di facilitazione,Informational,14,65,0,10,
agile scrum model,Informational,31,83,0,10,
delivery manager significato,Informational,26,84,0,10,
estructura organica,Informational,20,86,0,10,
b2b models,Informational,29,81,0,10,
master part time hr,Transactional,21,88,0,10,
attrazione legge universale,Informational,28,85,0,10,
pratica lean,Informational,25,87,0.24,10,
traduzione lag,Informational,66,69,0,10,
abilità di leadership,Informational,41,75,0,10,
corso per hr,Transactional,27,86,0,10,
metriche social media,Informational,31,78,0,0,
esempi di strategia aziendale,Informational,27,79,0,0,
simulazioni esame pmp,Transactional,30,84,0,0,
giochi aziendali di gruppo,Informational,26,86,0,0,
simulazione pmp,"Transactional,Informational",30,80,0,0,
analisi comunicazione,Transactional,21,84,0,0,
comunicazione efficace e gestione dei conflitti,Informational,28,71,0,0,
crescita professionale significato,Informational,35,80,0,0,
coinvolgimento degli stakeholder,Informational,25,64,0,0,
percorsi per competenze relazionali e trasversali,Informational,25,85,0,0,
esercizi soft skills,Informational,17,90,0,0,
posizionamento motori di ricerca Ferrara,Informational,16,88,0,0,
master benessere organizzativo,Informational,28,81,0,0,
simulazione test pmp,Transactional,28,85,0,0,
fasi di gestione del cambiamento,Informational,44,77,0,0,
corso project management certificato,Informational,35,80,0,0,
iniziative csr,Informational,34,84,0,0,
marketing il prodotto,"Transactional,Informational",41,78,0,0,
innovazione modello di business,Informational,44,75,0,0,
corso benessere aziendale,"Transactional,Informational",21,81,0,0,
livello corporate,Informational,28,81,0,0,
come migliorare le soft skills,Informational,27,85,0,0,