Keyword,POS,P.M.,Var,Lingua,Ext,Localcode,Vol.,Traffico,Cambio URL,URL,Andamento,SERP Features,SEO,CPC,Concorrenza,Keyword Difficulty,Keyword Opportunity,Tags
gestione gruppi,51,101,0,it,.it,,20,0,0,,"2026-06-10 : 101
2026-06-13 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Video Carousels,Box Domande frequenti",,0,0.6,50,75,
gestione incertezza,51,101,0,it,.it,,,0,0,,"2026-06-09 : 101
2026-06-11 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Google Knowledge Panel,Box Domande frequenti",,,,38,79,
gestione silos organizzativi,51,101,0,it,.it,,,0,0,,"2026-06-09 : 101
2026-06-11 : 101",Box Domande frequenti,,,,25,86,
gestione team,51,101,0,it,.it,,50,0,0,,"2026-06-10 : 101
2026-06-12 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Video Carousels,Box Domande frequenti",,3.92,0.1,51,70,
gruppi di lavoro,51,101,0,it,.it,,140,0,0,,"2026-06-10 : 101
2026-06-12 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Google Knowledge Panel,Video Carousels,Box Domande frequenti",,0,0.01,41,68,
gruppi piccoli,51,101,0,it,.it,,,0,0,,"2026-06-09 : 101
2026-06-11 : 101
2026-06-13 : 101",Box Domande frequenti,,,,30,78,
guida completa liberating structures,3,4.85,2,it,.it,,,0,1,https://liberating.it/,"2026-06-08 : 5
2026-06-10 : 5
2026-06-12 : 5",,,,,13,89,
"Heard, Seen, Respected",6,6.06,0,it,.it,,,0,0,https://liberating.it/structures/heard-seen-respected-hsr/,"2026-06-09 : 7
2026-06-11 : 6",Video Carousels,,,,17,63,
Helping Heuristics,5,3.64,-1,it,.it,,,0,0,https://liberating.it/structures/helping-heuristics/,"2026-06-10 : 4
2026-06-12 : 4","Foto Carousel,Box Domande frequenti",,,,34,42,
hsr,51,101,0,it,.it,,4400,0,0,,"2026-06-10 : 101
2026-06-12 : 101","Google Knowledge Panel,Box Domande frequenti,Local Pack di Google",,0.84,0,39,56,
idee innovative,51,101,0,it,.it,,480,0,0,,"2026-06-09 : 101
2026-06-11 : 101","AI Overview,Foto Carousel,Box Domande frequenti",,0.2,0.12,34,73,
Impromptu Networking,1,1,0,it,.it,,,0,0,https://liberating.it/structures/impromptu-networking/,"2026-06-10 : 1
2026-06-12 : 1","Video Carousels,Box Domande frequenti",80.32,,,31,38,
Improv Prototyping,2,2.21,0,it,.it,,,0,0,https://liberating.it/structures/improv-prototyping/,"2026-06-10 : 2
2026-06-12 : 2","Foto Carousel,Video Carousels",,,,24,56,
improvvisazione costruttiva,29,82.5,5,it,.it,,,0,0,https://liberating.it/structures/improv-prototyping/,"2026-06-10 : 38
2026-06-12 : 34","Primo risultato visibile dopo uno scroll,Video Carousels,Box Domande frequenti",,,,19,87,
improvvisazione guidata,51,101,0,it,.it,,,0,0,,"2026-06-09 : 101
2026-06-11 : 101
2026-06-13 : 101","Video Carousels,Box Domande frequenti",,,,20,71,
inclusione,51,101,0,it,.it,,1900,0,0,,"2026-06-10 : 101
2026-06-13 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Box Domande frequenti",,0,0,50,30,
inclusività reale,51,101,0,it,.it,,,0,0,,"2026-06-09 : 101
2026-06-11 : 101
2026-06-13 : 101","Box Domande frequenti,Mispell",,,,19,84,
innovazione,51,101,0,it,.it,,4400,0,0,,"2026-06-10 : 101
2026-06-12 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Video Carousels,Box Domande frequenti",,0.92,0.01,54,51,
innovazione diffusa,51,101,0,it,.it,,,0,0,,"2026-06-09 : 101
2026-06-11 : 101
2026-06-13 : 101",Box Domande frequenti,,,,41,47,
innovazione partecipativa,51,101,0,it,.it,,,0,0,,"2026-06-10 : 101
2026-06-12 : 101",Box Domande frequenti,,,,27,74,
innovazione prodotti,51,101,0,it,.it,,170,0,0,,"2026-06-10 : 101
2026-06-10 : 101
2026-06-12 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Box Domande frequenti",,0,0.01,35,80,
innovazione spontanea,51,101,0,it,.it,,,0,0,,"2026-06-09 : 101
2026-06-09 : 101
2026-06-11 : 101
2026-06-13 : 101",Box Domande frequenti,,,,36,72,
innovazione strutturata,51,101,0,it,.it,,,0,0,,"2026-06-10 : 101
2026-06-12 : 101",Box Domande frequenti,,,,24,81,
Integrated Autonomy,2,2.21,1,it,.it,,,0,0,https://liberating.it/structures/integrated-autonomy/,"2026-06-10 : 3
2026-06-12 : 3","Foto Carousel,Box Domande frequenti",,,,17,72,
intelligenza collettiva,51,101,0,it,.it,,390,0,0,,"2026-06-10 : 101
2026-06-12 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Google Knowledge Panel,Video Carousels,Box Domande frequenti",,0,0.04,42,36,
interazione,51,101,0,it,.it,,3600,0,0,,"2026-06-09 : 101
2026-06-11 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Google Knowledge Panel,Box Domande frequenti",,0,0.01,55,33,
interdipendenze mappate,51,101,0,it,.it,,,0,0,,"2026-06-08 : 101
2026-06-10 : 101
2026-06-12 : 101",Box Domande frequenti,,,,44,73,
interviste apprezzative,51,101,0,it,.it,,,0,0,,"2026-06-10 : 101
2026-06-12 : 101","Primo risultato visibile dopo uno scroll,Video Carousels,Box Domande frequenti",,,,38,81,
lavagne digitali,51,101,0,it,.it,,30,0,0,,"2026-06-10 : 101
2026-06-13 : 101","Google Knowledge Panel,Video Carousels,Box Domande frequenti",,0.41,0.93,36,81,
leadership,51,101,0,it,.it,,18100,0,0,,"2026-06-09 : 101
2026-06-11 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Video Carousels,Box Domande frequenti",,1.81,0.03,68,22,
leadership collaborativa,51,101,0,it,.it,,30,0,0,,"2026-06-09 : 101
2026-06-11 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Foto Carousel,Box Domande frequenti",,0,0.11,30,40,
leadership situazionale,51,101,0,it,.it,,390,0,0,,"2026-06-07 : 101
2026-06-09 : 101
2026-06-11 : 101","Google Knowledge Panel,Video Carousels,Box Domande frequenti",,0.8,0.22,45,33,
leadership trasformazionale,51,101,0,it,.it,,260,0,0,,"2026-06-09 : 101
2026-06-11 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Foto Carousel,Box Domande frequenti",,2.32,0.03,54,39,
liberating structure,2,2.07,0,it,.it,,,0,1,https://liberating.it/,"2026-06-09 : 2
2026-06-11 : 2","Foto Carousel,Video Carousels,Box Domande frequenti",,,,27,40,
liberating structures 1-2-4-all,2,2.06,0,it,.it,,,0,0,https://liberating.it/structures/1-2-4-all/,"2026-06-09 : 2
2026-06-11 : 2","Video Carousels,Box Domande frequenti",,,,15,89,
liberating structures gestione conflitti aziendali,51,13.35,-50,it,.it,,,0,0,,"2026-06-08 : 18
2026-06-10 : 1
2026-06-12 : 33",Box Domande frequenti,,,,37,82,
liberating structures per riunioni online efficaci,2,1.57,0,it,.it,,,0,1,https://liberating.it/complessita/iniziare-subito/,"2026-06-09 : 2
2026-06-11 : 2",,,,,18,88,
liberating structures per startup tecnologiche,2,2.21,-1,it,.it,,,0,1,https://liberating.it/,"2026-06-07 : 2
2026-06-09 : 1
2026-06-11 : 1",,,,,14,89,
liberating structures per sviluppo leadership partecipativa,2,1.78,0,it,.it,,,0,1,https://liberating.it/,"2026-06-08 : 2
2026-06-10 : 2
2026-06-12 : 2",Box Domande frequenti,,,,17,90,
liberating structures.com,2,2,0,it,.it,,,0,0,https://liberating.it/,"2026-06-10 : 2
2026-06-12 : 2",Mispell,,,,15,87,
libertà responsabile,51,101,0,it,.it,,0,0,0,,"2026-06-10 : 101
2026-06-12 : 101",Box Domande frequenti,,0,0,35,59,
materiali formativi discovery action dialogue,1,1.14,0,it,.it,,,0,0,https://liberating.it/structures/discovery-action-dialogue-dad/,"2026-06-10 : 1
2026-06-12 : 1",,,,,26,85,
matrice accordo-certezza,5,56.06,50,it,.it,,,0,0,https://liberating.it/structures/agreement-certainty-matrix/,"2026-06-10 : 7
2026-06-13 : 101",,,,,26,86,
mentoring tra pari,51,101,0,it,.it,,,0,0,,"2026-06-10 : 101
2026-06-12 : 101",Box Domande frequenti,,,,21,78,
metodo triz cos'è,51,56.85,-50,it,.it,,,0,0,,"2026-06-08 : 101
2026-06-10 : 25
2026-06-12 : 28","Video Carousels,Box Domande frequenti",,,,14,91,
metodologia open space,11,31.33,-1,it,.it,,10,0,0,https://liberating.it/structures/open-space-technology-ost/,"2026-06-10 : 11
2026-06-12 : 10","Risultato Zero,Box Domande frequenti",,0,0,29,85,
microstrutture,51,101,0,it,.it,,110,0,0,,"2026-06-09 : 101
2026-06-11 : 101",Box Domande frequenti,,0,0,27,57,
microstrutture liberanti,51,101,0,it,.it,,,0,0,,"2026-06-10 : 101
2026-06-13 : 101",Box Domande frequenti,,,,20,87,
miglioramento interazioni,51,101,0,it,.it,,,0,0,,"2026-06-11 : 101
2026-06-13 : 101",Box Domande frequenti,,,,35,82,
Min Specs,51,17.28,0,it,.it,,,0,0,,"2026-06-09 : 3
2026-06-11 : 101","Foto Carousel,Box Domande frequenti",,,,32,69,
modellazione comportamentale,51,101,0,it,.it,,,0,0,,"2026-06-10 : 101
2026-06-13 : 101",Box Domande frequenti,,,,21,86,
modelli di interazione,51,101,0,it,.it,,,0,0,,"2026-06-10 : 101
2026-06-12 : 101",Box Domande frequenti,,,,45,39,
motivazione,51,101,0,it,.it,,6600,0,0,,"2026-06-09 : 101
2026-06-11 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Foto Carousel,Box Domande frequenti",,0,0,71,26,
networking strutturato,51,101,0,it,.it,,,0,0,,"2026-06-10 : 101
2026-06-12 : 101",Box Domande frequenti,,,,32,83,
oggetto parlante,51,101,0,it,.it,,10,0,0,,"2026-06-10 : 101
2026-06-12 : 101",Box Domande frequenti,,0,0,45,53,
open space technology,11,11.35,0,it,.it,,210,0,0,https://liberating.it/structures/open-space-technology-ost/,"2026-06-10 : 10
2026-06-12 : 11","AI Overview,Primo risultato visibile dopo uno scroll,Google Knowledge Panel,Box Domande frequenti",,0,0,36,37,
orientamento nuovi membri,51,101,0,it,.it,,,0,0,,"2026-06-09 : 101
2026-06-11 : 101",Box Domande frequenti,,,,44,77,
ost,51,101,0,it,.it,,2400,0,0,,"2026-06-10 : 101
2026-06-12 : 101",Box Domande frequenti,,0.28,0.03,58,35,
outcome output,51,101,0,it,.it,,90,0,0,,"2026-06-09 : 101
2026-06-11 : 101
2026-06-13 : 101","Foto Carousel,Video Carousels,Box Domande frequenti",,0,0,23,87,
partecipazione attiva,51,101,0,it,.it,,390,0,0,,"2026-06-09 : 101
2026-06-11 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Video Carousels,Box Domande frequenti",,0.14,0.01,31,64,
partecipazione limitata,51,101,0,it,.it,,,0,0,,"2026-06-09 : 101
2026-06-11 : 101",Box Domande frequenti,,,,47,76,
pattern emergenti,51,101,0,it,.it,,,0,0,,"2026-06-08 : 101
2026-06-10 : 101
2026-06-12 : 101",Box Domande frequenti,,,,30,66,
pattern organizzativi,51,101,0,it,.it,,,0,0,,"2026-06-10 : 101
2026-06-13 : 101","Primo risultato visibile dopo uno scroll,Video Carousels,Box Domande frequenti",,,,23,81,
pattern relazionali,51,101,0,it,.it,,,0,0,,"2026-06-07 : 101
2026-06-09 : 101
2026-06-11 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Foto Carousel,Box Domande frequenti",,,,32,77,
pattern-finding,51,101,0,it,.it,,,0,0,,"2026-06-10 : 101
2026-06-12 : 101","Google Knowledge Panel,Video Carousels,Box Domande frequenti",,,,26,85,
pensiero creativo,51,101,0,it,.it,,720,0,0,,"2026-06-09 : 101
2026-06-11 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Foto Carousel,Video Carousels,Box Domande frequenti",,0.53,0.01,36,39,
pensiero sistemico,51,101,0,it,.it,,390,0,0,,"2026-06-08 : 101
2026-06-10 : 101
2026-06-12 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Google Knowledge Panel,Video Carousels,Box Domande frequenti",,0.19,0.53,24,47,
pianificazione strategica,51,101,0,it,.it,,1000,0,0,,"2026-06-07 : 101
2026-06-09 : 101
2026-06-11 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Google Knowledge Panel,Video Carousels,Box Domande frequenti",,1.37,0.11,52,26,
presentazioni,51,101,0,it,.it,,1600,0,0,,"2026-06-07 : 101
2026-06-09 : 101
2026-06-11 : 101",Video Carousels,,1.84,0.02,59,36,
priorità condivise,51,101,0,it,.it,,,0,0,,"2026-06-10 : 101
2026-06-12 : 101",Box Domande frequenti,,,,49,72,
problem solving collaborativo,51,101,0,it,.it,,,0,0,,"2026-06-09 : 101
2026-06-11 : 101
2026-06-13 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Box Domande frequenti",,,,23,57,
progetti strategici,51,101,0,it,.it,,20,0,0,,"2026-06-10 : 101
2026-06-12 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Box Domande frequenti",,0,0.01,42,50,
prototipazione comportamentale,51,101,0,it,.it,,,0,0,,"2026-06-10 : 101
2026-06-13 : 101
2026-06-13 : 101",Box Domande frequenti,,,,23,86,
prototipi comportamentali,51,101,0,it,.it,,,0,0,,"2026-06-10 : 101
2026-06-13 : 101",Box Domande frequenti,,,,26,85,
Purpose to Practice,4,9.75,0,it,.it,,,0,0,https://liberating.it/structures/purpose-to-practice-p2p/,"2026-06-08 : 3
2026-06-10 : 3
2026-06-12 : 4
2026-06-14 : 4","Foto Carousel,Box Domande frequenti",,,,20,76,
Quiet Presence,51,101,0,it,.it,,,0,0,,"2026-06-09 : 101
2026-06-11 : 101","Primo risultato visibile dopo uno scroll,Foto Carousel,Video Carousels,Box Domande frequenti",,,,37,53,
resilienza organizzativa,51,101,0,it,.it,,10,0,0,,"2026-06-09 : 101
2026-06-11 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Video Carousels,Box Domande frequenti",,0,0,39,41,
resistenze al cambiamento,51,101,0,it,.it,,10,0,0,,"2026-06-08 : 101
2026-06-10 : 101
2026-06-12 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Video Carousels,Box Domande frequenti",,0,0,34,80,
riflessione sistemica,51,101,0,it,.it,,,0,0,,"2026-06-10 : 101
2026-06-12 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Box Domande frequenti",,,,10,85,
riflessione strutturata,51,101,0,it,.it,,,0,0,,"2026-06-10 : 101
2026-06-13 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Google Knowledge Panel,Video Carousels,Box Domande frequenti",,,,47,76,
rinnovamento organizzativo,51,101,0,it,.it,,,0,0,,"2026-06-10 : 101
2026-06-12 : 101",Box Domande frequenti,,,,43,59,
rispetto autentico,51,101,0,it,.it,,,0,0,,"2026-06-10 : 101
2026-06-12 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Google Knowledge Panel,Box Domande frequenti",,,,48,76,
riunioni,51,101,0,it,.it,,210,0,0,,"2026-06-09 : 101
2026-06-11 : 101","Video Carousels,Box Domande frequenti",,0,0.01,52,43,
riunioni efficaci,51,101,0,it,.it,,70,0,0,,"2026-06-09 : 101
2026-06-11 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Video Carousels,Box Domande frequenti",,1.51,0.31,27,52,
riunioni inefficaci,51,101,0,it,.it,,,0,0,,"2026-06-10 : 101
2026-06-12 : 101","Primo risultato visibile dopo uno scroll,Video Carousels,Box Domande frequenti",,,,40,80,
root cause,51,101,0,it,.it,,590,0,0,,"2026-06-10 : 101
2026-06-12 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Box Domande frequenti",,0,0,48,41,
scenari futuri,51,101,0,it,.it,,110,0,0,,"2026-06-08 : 101
2026-06-10 : 101
2026-06-12 : 101","Video Carousels,Box Domande frequenti",,0,0,28,60,
seen heard,51,101,0,it,.it,,10,0,0,,"2026-06-10 : 101
2026-06-12 : 101",,,0,0,42,73,
segnali sonori,51,101,0,it,.it,,50,0,0,,"2026-06-09 : 101
2026-06-11 : 101
2026-06-14 : 101","Foto Carousel,Video Carousels,Box Domande frequenti",,0.05,0.28,43,41,
semplificazione processi,51,101,0,it,.it,,,0,0,,"2026-06-10 : 101
2026-06-13 : 101
2026-06-15 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Box Domande frequenti",,,,31,82,
semplificazione regole,51,101,0,it,.it,,,0,0,,"2026-06-10 : 101
2026-06-12 : 101",Box Domande frequenti,,,,41,77,
Shift &amp; Share,4,3.14,0,it,.it,,,0,0,https://liberating.it/structures/shift-share/,"2026-06-07 : 4
2026-06-09 : 4
2026-06-11 : 4",Box Domande frequenti,,,,21,86,
Simple Ethnography,3,2.92,1,it,.it,,,0,0,https://liberating.it/structures/simple-ethnography/,"2026-06-10 : 3
2026-06-12 : 4","Primo risultato visibile dopo uno scroll,Video Carousels,Box Domande frequenti",,,,18,83,
so what now,51,78.23,0,it,.it,,10,0,0,,"2026-06-09 : 2
2026-06-11 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Google Knowledge Panel,Foto Carousel,Video Carousels,Box Domande frequenti",,0,0,72,36,
Social Network Webbing,2,9.07,0,it,.it,,,0,0,https://liberating.it/structures/social-network-webbing/,"2026-06-10 : 2
2026-06-13 : 2","Foto Carousel,Video Carousels",,,,32,38,
soluzioni condivise,51,101,0,it,.it,,,0,0,,"2026-06-10 : 101
2026-06-12 : 101",Box Domande frequenti,,,,39,66,
soluzioni innovative,51,101,0,it,.it,,70,0,0,,"2026-06-10 : 101
2026-06-12 : 101","Google Knowledge Panel,Foto Carousel,Box Domande frequenti",,0,0,55,41,
spazi aperti,51,101,0,it,.it,,320,0,0,,"2026-06-09 : 101
2026-06-11 : 101","Primo risultato visibile dopo uno scroll,Foto Carousel,Video Carousels,Box Domande frequenti",,0,0,28,57,
spazi collaborativi,51,101,0,it,.it,,,0,0,,"2026-06-10 : 101
2026-06-12 : 101",Box Domande frequenti,,,,29,52,
sprint backlog,51,101,0,it,.it,,170,0,0,,"2026-06-09 : 101
2026-06-11 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Foto Carousel,Box Domande frequenti",,0,0,31,47,
sprint retrospective,51,101,0,it,.it,,140,0,0,,"2026-06-08 : 101
2026-06-10 : 101
2026-06-12 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Foto Carousel,Video Carousels,Box Domande frequenti",,0,0.01,34,48,
storie di successo,51,101,0,it,.it,,260,0,0,,"2026-06-07 : 101
2026-06-09 : 101
2026-06-11 : 101","Video Carousels,Box Domande frequenti",,0.31,0.56,61,36,
strategie robuste,51,101,0,it,.it,,,0,0,,"2026-06-10 : 101
2026-06-12 : 101",Box Domande frequenti,,,,25,86,
sviluppo competenze,51,101,0,it,.it,,70,0,0,,"2026-06-07 : 101
2026-06-09 : 101
2026-06-11 : 101",Box Domande frequenti,,0.26,0.13,44,44,
sviluppo strategie,51,101,0,it,.it,,,0,0,,"2026-06-09 : 101
2026-06-11 : 101",Box Domande frequenti,,,,33,83,
Talking with Pixies,1,1.6,0,it,.it,,,0,0,https://liberating.it/structures/talking-with-pixies/,"2026-06-10 : 1
2026-06-12 : 1","Video Carousels,Box Domande frequenti",,,,34,66,
tecnica 1 2 4,4,3,-1,it,.it,,0,0,0,https://liberating.it/structures/1-2-4-all/,"2026-06-10 : 3
2026-06-12 : 3","Risultato Zero,Foto Carousel,Video Carousels,Box Domande frequenti",,0,0,17,91,
tecniche impromptu networking team numerosi,1,1.21,0,it,.it,,,0,1,https://liberating.it/structures/impromptu-networking/,"2026-06-09 : 1
2026-06-11 : 1",,,,,21,87,
template ecocycle planning italiano,1,1.06,0,it,.it,,,0,1,https://liberating.it/structures/ecocycle-planning/,"2026-06-10 : 1
2026-06-12 : 1
2026-06-12 : 1",,,,,29,84,
trasferimento conoscenze,51,101,0,it,.it,,,0,0,,"2026-06-10 : 101
2026-06-12 : 101",Box Domande frequenti,,,,17,86,
trasformazione organizzativa,51,101,0,it,.it,,,0,0,,"2026-06-09 : 101
2026-06-11 : 101","Google Knowledge Panel,Video Carousels,Box Domande frequenti",,,,26,75,
trasformazione pratiche,51,101,0,it,.it,,,0,0,,"2026-06-08 : 101
2026-06-10 : 101
2026-06-12 : 101",Box Domande frequenti,,,,31,83,
trasformazione radicale,51,101,0,it,.it,,,0,0,,"2026-06-10 : 101
2026-06-13 : 101",Box Domande frequenti,,,,41,54,
triz,51,43.78,-50,it,.it,,480,0,0,,"2026-06-09 : 21
2026-06-11 : 17
2026-06-13 : 20","AI Overview,Primo risultato visibile dopo uno scroll,Google Knowledge Panel,Video Carousels,Box Domande frequenti",,0.05,0.04,28,39,
TRIZ per innovazione,20,17.28,2,it,.it,,,0,0,https://liberating.it/structures/triz/,"2026-06-07 : 19
2026-06-09 : 18
2026-06-11 : 22",Box Domande frequenti,,,,10,91,
TRIZ vs brainstorming,51,101,0,it,.it,,,0,0,,"2026-06-07 : 101
2026-06-09 : 101
2026-06-11 : 101",Box Domande frequenti,,,,18,84,
troika consulting method,23,32.64,-11,it,.it,,10,0,0,https://liberating.it/structures/troika-consulting/,"2026-06-07 : 101
2026-06-09 : 17
2026-06-11 : 12","Foto Carousel,Video Carousels,Box Domande frequenti",,0,0,16,87,
User Experience Fishbowl,6,11.64,0,it,.it,,,0,0,https://liberating.it/structures/user-experience-fishbowl/,"2026-06-09 : 6
2026-06-11 : 6","Foto Carousel,Video Carousels,Box Domande frequenti",,,,21,52,
UX Fishbowl,51,94.87,0,it,.it,,,0,0,,"2026-06-10 : 101
2026-06-12 : 3
2026-06-15 : 101","Foto Carousel,Video Carousels,Box Domande frequenti",,,,15,79,
visione strategica,51,101,0,it,.it,,70,0,0,,"2026-06-09 : 101
2026-06-11 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Box Domande frequenti",,1.1,0.01,39,48,
What I Need From You,51,101,0,it,.it,,,0,0,,"2026-06-10 : 101
2026-06-12 : 101",Box Domande frequenti,,,,55,65,
What So What Now What,30,48.21,8,it,.it,,140,0,0,https://liberating.it/structures/w3-what-so-what-now-what/,"2026-06-08 : 40
2026-06-10 : 36
2026-06-12 : 38","AI Overview,Primo risultato visibile dopo uno scroll,Foto Carousel,Video Carousels,Box Domande frequenti",,0,0,6,91,
"What, So What, Now What?",33,50.57,-3,it,.it,,,0,0,https://liberating.it/structures/w3-what-so-what-now-what/,"2026-06-10 : 35
2026-06-13 : 30","AI Overview,Primo risultato visibile dopo uno scroll,Video Carousels,Box Domande frequenti",,,,8,85,
Wicked Questions,51,10.14,-50,it,.it,,,0,0,,"2026-06-09 : 3
2026-06-11 : 3","AI Overview,Google Knowledge Panel,Video Carousels,Box Domande frequenti",80.32,,,40,70,
WINFY,51,87.14,0,it,.it,,,0,0,,"2026-06-09 : 101
2026-06-11 : 101",Foto Carousel,,,,38,44,
Wise Crowds,3,2.56,0,it,.it,,,0,1,https://liberating.it/structures/wise-crowds/,"2026-06-10 : 2
2026-06-12 : 3",Foto Carousel,,,,34,42,
workshop avanzato metodologie partecipative,51,101,0,it,.it,,,0,0,,"2026-06-09 : 101
2026-06-11 : 101","Google Knowledge Panel,Box Domande frequenti,Local Pack di Google",,,,25,85,
world cafe,51,101,0,it,.it,,480,0,0,,"2026-06-07 : 101
2026-06-09 : 101
2026-06-11 : 101","Google Knowledge Panel,Video Carousels,Box Domande frequenti",,0,0,22,75,